Year,one,two,three,four,five,fivepercent,midsixty,priv,pub,All
1977,4.2,10.2,16.9,24.7,44.0,16.8,51.8,21.7,32.8,26.5
1978,4.2,10.2,16.8,24.7,44.1,16.8,51.7,20.7,33.3,25.8
1979,4.1,10.2,16.8,24.6,44.2,16.9,51.6,21.2,37.0,27.0
1980,4.2,10.2,16.8,24.7,44.1,16.5,51.7,20.1,35.9,25.7
1981,4.1,10.1,16.7,24.8,44.3,16.5,51.6,18.7,34.3,23.9
1982,4.0,10.0,16.5,24.5,45.0,17.0,51.0,17.6,34.5,23.6
1983,4.0,9.9,16.4,24.6,45.1,17.0,50.9,16.5,36.7,23.3
1984,4.0,9.9,16.3,24.6,45.2,17.1,50.8,15.3,35.7,21.6
1985,3.9,9.8,16.2,24.4,45.6,17.6,50.4,14.3,35.7,20.5
1986,3.8,9.7,16.2,24.3,46.1,18.0,50.2,13.8,35.9,19.9
1987,3.8,9.6,16.1,24.3,46.2,18.2,50.0,13.2,35.9,19.2
1988,3.8,9.6,16.0,24.2,46.3,18.3,49.8,12.7,36.6,19.0
1989,3.8,9.5,15.8,24.0,46.8,18.9,49.3,12.3,36.7,18.6
1990,3.8,9.6,15.9,24.0,46.6,18.5,49.5,11.9,36.5,18.3
1991,3.8,9.6,15.9,24.2,46.5,18.1,49.7,11.7,36.9,18.2
1992,3.8,9.4,15.8,24.2,46.9,18.6,49.4,11.4,36.6,17.9
1993,3.6,9.0,15.1,23.5,48.9,21.0,47.6,11.1,37.7,17.7
1994,3.6,8.9,15.0,23.4,49.1,21.2,47.3,10.8,38.7,17.4
1995,3.7,9.1,15.2,23.3,48.7,21.0,47.6,10.3,37.7,16.7
1996,3.6,9.0,15.1,23.3,49.0,21.4,47.4,10.0,37.6,16.2
1997,3.6,8.9,15.0,23.2,49.4,21.7,47.1,9.7,37.2,15.6
1998,3.6,9.0,15.0,23.2,49.2,21.4,47.2,9.5,37.5,15.4
1999,3.6,8.9,14.9,23.2,49.4,21.5,47.0,9.4,37.3,15.3
2000,3.6,8.9,14.8,23.0,49.8,22.1,46.7,9.0,37.5,14.9
2001,3.5,8.7,14.6,23.0,50.1,22.4,46.3,9.0,37.4,14.8
2002,3.5,8.8,14.8,23.3,49.7,21.7,46.9,8.6,37.8,14.6
2003,3.4,8.7,14.8,23.4,49.8,21.4,46.9,8.2,37.2,14.3
2004,3.4,8.7,14.7,23.2,50.1,21.8,46.6,7.9,36.4,13.8
2005,3.4,8.6,14.6,23.0,50.4,22.2,46.2,7.8,36.5,13.7
2006,3.4,8.6,14.5,22.9,50.5,22.3,46.0,7.4,36.2,13.1
2007,3.4,8.7,14.8,23.4,49.7,21.2,46.9,7.5,35.9,13.3
2008,3.4,8.6,14.7,23.3,50.0,21.5,46.6,7.6,36.8,13.7
2009,3.4,8.6,14.6,23.2,50.3,21.7,46.4,7.2,37.4,13.6
2010,3.3,8.5,14.6,23.4,50.3,21.3,46.5,6.9,36.2,13.1
2011,3.2,8.4,14.3,23.0,51.1,22.3,45.7,6.9,37.0,13.0
2012,3.2,8.3,14.4,23.0,51.0,22.3,45.7,6.7,35.9,12.5
2013,3.1,8.2,14.3,23.0,51.4,22.2,45.5,6.7,35.3,12.4
2014,3.1,8.2,14.3,23.2,51.2,21.9,45.7,6.6,35.7,12.3
2015,3.1,8.2,14.3,23.2,51.1,22.1,45.7,6.7,35.2,12.3
2016,3.1,8.3,14.2,22.9,51.5,22.6,45.4,6.4,34.4,11.9
2017,3.1,8.2,14.3,23.0,51.5,22.3,45.5,6.5,34.4,11.9
2018,3.1,8.3,14.1,22.6,52.0,23.1,45.0,6.4,33.9,11.7
2019,3.1,8.3,14.1,22.7,51.9,23.0,45.1,6.2,33.6,11.6